No.;epp;epw;?p;vp;?pp;?pw;?/°;?
1;0.045;0.096;15.92;0.386;0.09;0.908;37.26;7.4
2;0.049;0.045;21.43;0.198;0.024;2.459;27.6;10.38
3;0.018;0.092;21.73;0.402;0.033;2.01;30.78;10.4
4;0.027;0.01;27.86;0.182;0.084;2.173;–;–
5;0.098;0.037;20.2;0.157;0.053;1.071;29.09;9.67
6;0.016;0.078;29.08;0.206;0.047;1.929;30.02;13.96
7;0.002;0.063;23.88;0.222;0.133;2.214;35.64;11.03
8;0.031;0.051;26.02;0.1;0.113;1.031;35.12;12.16
9;0.096;0.039;17.14;0.41;0.11;1.153;–;–
10;0.037;0.053;16.84;0.165;0.064;0.582;32.8;8.03
11;0.008;0.061;18.06;0.255;0.147;0.99;45.46;8.21
12;0.063;0.041;19.29;0.492;0.044;2.051;30.9;9.16
13;0.014;0.035;16.53;0.312;0.013;1.52;22.53;8
14;0.047;0.1;26.33;0.288;0.141;1.439;44.85;12.03
15;0.004;0.084;18.67;0.141;0.056;1.765;30.04;8.84
16;0.078;0.09;21.12;0.467;0.119;1.969;36.87;9.57
17;0.02;0.059;20.82;0.5;0.036;0.786;26.81;10
18;0.094;0.049;28.47;0.369;0.124;1.48;38.76;13.07
19;0.039;0.004;22.65;0.133;0.027;1.276;30.15;10.96
20;0.065;0.014;18.98;0.378;0.03;0.663;28.97;9.24
21;0;0.02;22.96;0.304;0.079;0.949;30.61;10.93
22;0.035;0.076;15.31;0.312;0.101;2.255;39.82;7.01
23;0.074;0.08;16.22;0.296;0.019;1.561;27.89;7.83
24;0.082;0.088;26.63;0.353;0.039;2.133;29.94;12.8
25;0.006;0.094;24.18;0.271;0.076;0.704;33.25;11.54
26;0.086;0.018;25.1;0.125;0.13;1.643;–;–
27;0.088;0.008;25.41;0.329;0.07;2.337;37.04;11.96
28;0.092;0.031;27.55;0.427;0.021;1.316;–;–
29;0.08;0.043;29.69;0.149;0.041;1.724;30.43;14.37
30;0.084;0.082;25.71;0.214;0.093;0.541;–;–
31;0.09;0.086;22.35;0.459;0.05;0.827;31.55;10.74
32;0.033;0.027;17.45;0.116;0.107;1.888;39.76;8.01
33;0.022;0.033;29.39;0.337;0.144;1.398;–;–
34;0.059;0.029;20.51;0.345;0.15;2.092;–;–
35;0.053;0.053;23.57;0.418;0.136;0.5;–;–
36;0.069;0.098;22.96;0.108;0.061;1.684;–;–
37;0.076;0.074;17.76;0.174;0.139;1.235;40.88;8.08
38;0.053;0.002;24.49;0.476;0.099;1.357;33.91;11.39
39;0.041;0.071;30;0.435;0.067;1.112;32.62;14.26
40;0.043;0.047;28.16;0.451;0.096;2.418;37.82;13.09
41;0.051;0.065;24.8;0.247;0.01;0.867;23.75;12.21
42;0.1;0.057;18.37;0.239;0.084;2.296;37.89;8.58
43;0.057;0.006;19.59;0.231;0.127;0.745;39.01;9.01
44;0.029;0.022;15;0.443;0.104;1.194;35.25;6.9
45;0.012;0.012;19.9;0.361;0.081;2.378;33.5;9.22
46;0.01;0.069;22.04;0.484;0.121;1.561;35.38;10.12
47;0.071;0;15.61;0.28;0.059;1.847;32.46;7.38
48;0.061;0.016;28.78;0.263;0.073;0.622;32;13.77
49;0.067;0.067;27.24;0.19;0.116;2.5;40.28;12.56
50;0.025;0.025;26.94;0.394;0.016;1.806;24.13;12.86
