No,epp,epw,dens,vp,upp,upw,alfa/*,p
1,0.069,0.085,29.39,0.197,0.113,2,37.18,13.72
2,0.059,0.088,25.91,0.237,0.019,2,27.12,12.74
3,0.017,0.016,25.76,0.217,0.118,2,37.27,11.78
4,0.07,0.024,24.55,0.415,0.139,0.682,34.56,11.27
5,0,0.036,23.03,0.157,0.091,1,0,0
6,0.054,0.07,28.48,0.46,0.142,1,39.12,12.98
7,0.008,0.082,18.18,0.464,0.13,2,39.13,8.28
8,0.078,0.02,18.64,0.468,0.037,2,25.45,8.93
9,0.065,0.041,21.21,0.1,0.031,2,28.46,10.21
10,0.047,0.099,24.39,0.153,0.081,1,0,0
11,0.01,0.037,21.67,0.334,0.033,0.601,21.61,10.51
12,0.007,0.065,26.82,0.484,0.106,2,33.45,12.41
13,0.012,0.074,27.27,0.14,0.122,0.641,37.85,12.8
14,0.03,0.092,25.3,0.302,0.023,0.823,24.23,12.34
15,0.014,0.042,23.79,0.351,0.15,1,40.28,10.81
16,0.08,0.043,15.3,0.136,0.089,1,33.42,7.12
17,0.084,0.075,28.79,0.431,0.109,2,35,13.32
18,0.031,0.067,18.94,0.48,0.075,2,36.26,8.78
19,0.037,0.061,23.48,0.132,0.147,2,35.55,10.67
20,0.026,0.002,21.36,0.298,0.102,0.702,36.88,10
21,0.041,0.044,19.24,0.144,0.126,0.662,46.18,8.85
22,0.044,0.046,28.03,0.286,0.079,0.5,33.62,13.4
23,0.075,0.008,17.73,0.233,0.05,0.722,32.86,8.53
24,0.064,0.095,17.58,0.419,0.026,2,30.78,8.45
25,0.051,0.049,22.27,0.294,0.077,2,30.59,10.52
26,0.096,0.038,22.58,0.278,0.017,1,30.04,11.05
27,0.085,0.087,21.52,0.395,0.021,0.803,28.75,10.48
28,0.058,0.04,26.21,0.435,0.013,0.763,24.61,12.87
29,0.092,0.059,24.09,0.108,0.098,1,41.95,11.29
30,0.071,0.097,26.36,0.375,0.092,0.561,44.97,12.43
31,0.081,0.063,25.15,0.456,0.024,2,30.15,12.11
32,0.068,0.034,18.48,0.452,0.061,0.52,32.84,8.82
33,0.093,0.057,22.73,0.326,0.144,2,0,0
34,0.088,0.012,23.03,0.181,0.134,0.904,34.75,10.57
35,0.018,0.021,16.06,0.262,0.127,1.551,39.84,7.3
36,0.091,0.022,16.52,0.423,0.119,2.076,40.92,7.5
37,0.028,0.077,16.36,0.12,0.096,1.631,34.01,7.55
38,0.074,0.026,15.76,0.334,0.129,0.944,0,0
39,0.077,0.025,27.42,0.205,0.137,2.278,35.83,12.5
40,0.072,0.089,20,0.193,0.11,2.338,0,0
41,0.021,0.028,15.45,0.165,0.054,0.985,31.58,7.35
42,0.097,0.064,15.91,0.367,0.068,1.328,29.61,7.47
43,0.087,0.035,29.85,0.29,0.103,1.288,34.29,13.93
44,0.033,0.079,16.82,0.25,0.047,2.48,29.99,7.98
45,0.032,0.072,20.76,0.496,0.045,1.146,26.91,9.9
46,0.029,0.039,20.61,0.371,0.011,2.096,24.63,10
47,0.057,0.001,21.97,0.33,0.14,1.712,37.39,9.96
48,0.025,0.051,27.88,0.128,0.03,1.025,24.97,13.15
49,0.023,0.026,26.06,0.488,0.085,0.843,33.69,12.29
50,0.002,0.066,20.3,0.274,0.115,2.237,38.41,9.32
51,0.053,0.054,16.21,0.322,0.01,1.126,23.63,7.93
52,0.042,0.1,23.79,0.363,0.116,1.874,40.07,10.94
53,0.083,0.076,28.64,0.213,0.04,0.965,27.18,13.92
54,0.02,0.053,17.27,0.379,0.108,0.581,38.64,8.04
55,0.022,0.093,19.85,0.254,0.146,1.025,0,0
56,0.04,0.014,26.67,0.492,0.043,1.995,29.47,12.73
57,0.054,0.069,15,0.342,0.125,1.854,41.06,6.8
58,0.036,0.011,16.97,0.391,0.085,2.439,38.49,7.85
59,0.1,0.009,20.91,0.229,0.084,1.833,33.28,9.79
60,0.056,0.005,24.24,0.27,0.051,2.399,32.52,11.58
61,0.019,0.003,28.94,0.282,0.062,1.227,29.11,13.82
62,0.016,0.071,20.15,0.161,0.016,1.571,23.81,9.78
63,0.095,0.054,24.85,0.476,0.078,1.167,0,0
64,0.034,0.007,22.12,0.221,0.014,1.348,25.55,12.67
65,0.024,0.078,24.7,0.116,0.071,2.318,31.62,11.65
66,0.006,0.033,27.12,0.205,0.028,2.136,25.2,13.08
67,0.05,0.084,29.24,0.443,0.055,1.429,30.02,13.87
68,0,0.015,22.42,0.387,0.082,1.773,30.75,10.51
